Date,Portfolio Value
2023-07-28,7309.85132710449
2023-07-31,7392.335459301956
2023-08-01,7369.673582486834
2023-08-02,7247.976635570304
2023-08-03,7249.254334802727
2023-08-04,7225.971644819359
2023-08-07,7286.323734921902
2023-08-08,7229.832804622611
2023-08-09,7103.622198509014
2023-08-10,7119.671456340573
2023-08-11,7107.330205401955
2023-08-14,7160.394393820344
2023-08-15,7099.345752832917
2023-08-16,7045.095988576267
2023-08-17,6926.552674559137
2023-08-18,6944.0061773816315
2023-08-21,7012.697514225979
2023-08-22,7004.401797852985
2023-08-23,7106.5389968557065
2023-08-24,6983.6427189914575
2023-08-25,7034.519065672624
2023-08-28,7084.9446381434245
2023-08-29,7220.992681075357
2023-08-30,7266.753907366781
2023-08-31,7218.587503982022
2023-09-01,7211.752652097157
2023-09-05,7187.553954690916
2023-09-06,7166.473931610933
2023-09-07,7149.03603743042
2023-09-08,7149.491654271398
2023-09-11,7245.208785862131
2023-09-12,7193.947309846549
2023-09-13,7191.314510973236
2023-09-14,7249.73051253175
2023-09-15,7169.471866358943
2023-09-18,7186.723477343312
2023-09-19,7169.630172888843
2023-09-20,7102.4983160610955
2023-09-21,6977.288970055882
2023-09-22,6967.4879165087805
2023-09-25,6982.316016141096
2023-09-26,6905.770442050614
2023-09-27,6923.0754813169815
2023-09-28,6990.280294878743
2023-09-29,6954.143720464175
2023-10-02,6927.045140427707
2023-10-03,6813.637214151246
2023-10-04,6896.247468998614
2023-10-05,6890.6669421604865
2023-10-06,6995.015742375745
2023-10-09,7069.158261619645
2023-10-10,7110.843341465801
2023-10-11,7146.525650450981
2023-10-12,7099.156784129889
2023-10-13,7080.961790387966
2023-10-16,7121.240888520308
2023-10-17,7140.566846363487
2023-10-18,7059.923213402142
2023-10-19,7014.18140937198
2023-10-20,6928.225395533958
2023-10-23,6941.6831784250235
2023-10-24,7035.711682544692
2023-10-25,6931.872156757586
2023-10-26,6843.781341554586
2023-10-27,6835.416523453954
2023-10-30,6863.341738048009
2023-10-31,6876.924586050789
2023-11-01,6932.982431054598
2023-11-02,7135.316006038599
2023-11-03,7225.31888937449
2023-11-06,7228.272184269611
2023-11-07,7239.2993091652725
2023-11-08,7239.97538814445
2023-11-09,7198.827051973823
2023-11-10,7315.937512854025
